index;UserID;Username;IPADDRESS;MAC;Status;AP_ID;AP_NAME;RF/WLAN;BAND;Type;RX/TX;RSSI;VLAN;SSID;@timestamp-py
0;3;netmiko;10.81.234.8;-;Success;0;0;0;0;0;0;0;0;0;0
1;13;netmiko;10.81.234.8;-;Success;0;0;0;0;0;0;0;0;0;0
2;5490;6256e3cae308;172.16.250.102;6256-e3ca-e308;Pre-authen;5;AP_CWB_ENTRADA;1/4;5G;11ac;6/144;-51;400;41_Roost_Omnidata;2022-04-11T14:28:30-0300
3;5550;56-42-E7-9D-40-E8;172.16.250.101;5642-e79d-40e8;Success;5;AP_CWB_ENTRADA;0/4;2.4G;11n;96/96;-35;400;41_Roost_Omnidata;2022-04-11T14:28:30-0300
4;5557;redisul\claudinei;172.19.13.58;fc64-3aa4-f9f8;Success;6;AP_CWB_ESTOQUE_1;0/1;2.4G;11n;72/72;-55;13;eterea;2022-04-11T14:28:30-0300
5;5561;gabriel.rocha;172.16.13.77;5ccd-5bf3-c5a0;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;173/86;-63;13;eterea;2022-04-11T14:28:30-0300
6;5567;joao.feitosa;172.16.13.52;36c6-b432-42e2;Success;4;AP_CWB_REUNIAO;0/1;2.4G;11n;72/72;-56;13;eterea;2022-04-11T14:28:30-0300
7;5614;michelle.mileki;172.16.13.59;7c8b-b531-3c4f;Success;3;AP_CWB_MEIO;0/1;2.4G;11n;52/72;-53;13;eterea;2022-04-11T14:28:30-0300
8;5640;guilherme.carvalho;172.16.13.55;5e79-0a7e-90b8;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;173/173;-66;13;eterea;2022-04-11T14:28:30-0300
9;5646;juliana.groth;172.16.13.58;bab2-c64f-295d;Success;3;AP_CWB_MEIO;1/1;5G;11ac;173/130;-47;13;eterea;2022-04-11T14:28:30-0300
10;5647;michelle.mileki;172.16.13.60;50eb-71c2-1a9b;Success;4;AP_CWB_REUNIAO;1/1;5G;11ac;86/86;-55;13;eterea;2022-04-11T14:28:30-0300
11;5674;64-A2-00-1E-7F-99;172.16.250.106;64a2-001e-7f99;Success;5;AP_CWB_ENTRADA;0/4;2.4G;11n;78/86;-44;400;41_Roost_Omnidata;2022-04-11T14:28:30-0300
12;5685;jefferson;172.16.13.62;a483-e73f-ec23;Success;3;AP_CWB_MEIO;1/1;5G;11ac;173/173;-43;13;eterea;2022-04-11T14:28:30-0300
13;5695;marcos.junior;172.16.13.66;2a87-d116-a3b9;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;86/86;-52;13;eterea;2022-04-11T14:28:30-0300
14;5712;marina.oliveira;172.16.13.71;56e3-caef-b634;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;156/173;-55;13;eterea;2022-04-11T14:28:30-0300
15;5729;REDISUL\jean.tiburs...;172.16.13.56;6432-a843-f0da;Success;3;AP_CWB_MEIO;1/1;5G;11ac;86/86;-52;13;eterea;2022-04-11T14:28:30-0300
16;5731;marcos.lustosa;172.16.13.67;5ccd-5bf3-c58c;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;173/173;-47;13;eterea;2022-04-11T14:28:30-0300
17;5734;enio.danzmann;172.16.13.73;dc53-600d-abfb;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;173/144;-56;13;eterea;2022-04-11T14:28:30-0300
18;5761;rogerio.gomes;172.19.13.59;687d-6bca-12ad;Success;7;AP_CWB_ESTOQUE_2;1/1;5G;11ac;96/96;-51;13;eterea;2022-04-11T14:28:30-0300
19;5766;branco;172.19.13.55;4a02-8e45-86d3;Success;6;AP_CWB_ESTOQUE_1;1/1;5G;11ac;78/86;-44;13;eterea;2022-04-11T14:28:30-0300
20;5771;fabricio.santana;172.16.13.72;b83b-cc03-7e9b;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;96/96;-55;13;eterea;2022-04-11T14:28:30-0300
21;5773;joao.feitosa;172.16.13.69;103f-4474-deac;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;96/96;-47;13;eterea;2022-04-11T14:28:30-0300
22;5775;joao.feitosa;172.16.13.68;7ce9-d3d6-5b31;Success;5;AP_CWB_ENTRADA;0/1;2.4G;11n;65/58;-48;13;eterea;2022-04-11T14:28:30-0300
23;5777;enio.danzmann;172.16.13.74;7e09-131c-a6c6;Success;3;AP_CWB_MEIO;1/1;5G;11ac;173/192;-48;13;eterea;2022-04-11T14:28:30-0300
24;5780;2ac6e8b93672;172.16.250.100;2ac6-e8b9-3672;Pre-authen;4;AP_CWB_REUNIAO;1/4;5G;11ac;6/72;-60;400;41_Roost_Omnidata;2022-04-11T14:28:30-0300
25;5785;REDISUL\branco;172.19.13.56;60d8-19d4-e8ea;Success;6;AP_CWB_ESTOQUE_1;0/1;2.4G;11n;72/72;-40;13;eterea;2022-04-11T14:28:30-0300
26;5792;REDISUL\rogerio.gom...;172.19.13.64;8056-f2f2-1ae3;Success;7;AP_CWB_ESTOQUE_2;0/1;2.4G;11n;72/72;-43;13;eterea;2022-04-11T14:28:30-0300
27;5798;felipe;172.19.13.50;f430-8b83-3cb5;Success;6;AP_CWB_ESTOQUE_1;1/1;5G;11ac;72/96;-68;13;eterea;2022-04-11T14:28:30-0300
28;5819;felipe;172.19.13.51;441c-a8bf-d83f;Success;6;AP_CWB_ESTOQUE_1;1/1;5G;11ac;39/192;-43;13;eterea;2022-04-11T14:28:30-0300
29;5829;jefferson;172.16.13.61;ca01-740a-cbcc;Success;3;AP_CWB_MEIO;1/1;5G;11ac;130/192;-54;13;eterea;2022-04-11T14:28:30-0300
30;5841;evandro;172.16.13.63;9614-8430-4069;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;86/86;-47;13;eterea;2022-04-11T14:28:30-0300
31;5858;129b0fa6d762;10.10.17.109;129b-0fa6-d762;Pre-authen;1;AP_BSB_ENGENHARIA;1/4;5G;11ac;156/104;-52;400;61_Roost_Omnidata;2022-04-11T14:28:30-0300
32;5863;jean.tiburski@redis...;172.16.13.53;6616-2ec5-1f96;Success;3;AP_CWB_MEIO;1/1;5G;11ac;144/144;-56;13;eterea;2022-04-11T14:28:30-0300
33;6041;9cb70d9f7570;10.10.17.102;9cb7-0d9f-7570;Pre-authen;1;AP_BSB_ENGENHARIA;0/4;2.4G;11n;65/64;-44;400;61_Roost_Omnidata;2022-04-11T14:28:30-0300
