 from   9cb7-0d9f-7570     0006-f4af-2c50     0           AP_BSB_REUNIAO     0         11       -62/16:39:54                -                           
 from   9cb7-0d9f-7570     d494-e80f-b260     2           AP_BSB_COMERCIAL   0         6        -42/16:40:38                -                           
 from   9cb7-0d9f-7570     0006-f4af-28f0     1           AP_BSB_ENGENHARIA  0         11       -43/16:40:44                -                           
 from   0e46-2139-e445     7cc3-85e0-2900     6           AP_CWB_ESTOQUE_1   1         36       -46/16:40:32                -                           
 from   60ab-67c4-61d0     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -46/16:40:10                -                           
 from   7c8b-b531-3c4f     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -54/16:40:10                -                           
 from   50eb-71c2-1a9b     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -42/16:40:10                -                           
 from   60d8-19d4-e8ea     7cc3-85e0-2900     6           AP_CWB_ESTOQUE_1   0         1        -42/16:40:32                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     0         1        -41/16:40:00                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -46/16:40:00                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -52/16:40:10                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -61/16:40:10                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -52/16:40:10                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -39/16:40:10                -                           
 from   4a02-8e45-86d3     7cc3-85e0-2900     6           AP_CWB_ESTOQUE_1   1         36       -41/16:40:32                -                           
 from   5ccd-5bf3-c1bd     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -41/16:40:10                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -46/16:40:10                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -43/16:40:10                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -48/16:40:10                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -45/16:40:10                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -55/16:40:00                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     0         1        -58/16:40:00                -                           
 from   00d7-6d3b-dc6f     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -50/16:40:10                -                           
 from   7e09-131c-a6c6     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -60/16:40:10                 52/ 38/15:39:58            
 from   7e09-131c-a6c6     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -                            56/ 36/15:39:58            
 from   dc53-600d-abfb     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -49/16:40:10                -                           
 from   dc53-600d-abfb     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     0         1        -63/16:27:58                -                           
 from   dc53-600d-abfb     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -63/16:39:00                -                           
 from   dc53-600d-abfb     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -57/16:39:10                -                           
 from   dc53-600d-abfb     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -65/16:39:10                -                           
 from   0a37-d4a0-4c9a     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -51/16:40:10                -                           
 from   5e79-0a7e-90b8     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -57/16:40:10                -                           
 from   2ac6-e8b9-3672     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -62/16:41:10                -                           
 from   2ac6-e8b9-3672     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     0         1        -57/16:39:00                -                           
 from   2ac6-e8b9-3672     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -64/16:33:00                -                           
 from   2ac6-e8b9-3672     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -61/16:37:08                -                           
 from   2ac6-e8b9-3672     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -51/16:39:10                -                           
 from   5cea-1dd8-4227     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -58/16:41:10                -                           
