0045-e269-97bb   6     AP_CWB_ESTOQUE_1  1/1      5G    11ac  173/173    -35   13    172.19.13.61     eterea                  2022-03-29'T'10:01:11-0300
00d7-6d3b-dc6f   3     AP_CWB_MEIO       1/1      5G    11ac  86/86      -43   13    172.16.13.74     eterea                  2022-03-29'T'10:01:11-0300
103f-4474-deac   5     AP_CWB_ENTRADA    1/1      5G    11ac  96/96      -48   13    172.16.13.65     eterea                  2022-03-29'T'10:01:11-0300
2079-188b-a556   5     AP_CWB_ENTRADA    1/1      5G    11ac  65/173     -40   13    172.16.13.60     eterea                  2022-03-29'T'10:01:11-0300
2a87-d116-a3b9   5     AP_CWB_ENTRADA    1/1      5G    11ac  78/86      -49   13    172.16.13.64     eterea                  2022-03-29'T'10:01:11-0300
4a02-8e45-86d3   6     AP_CWB_ESTOQUE_1  1/1      5G    11ac  78/86      -43   13    172.19.13.55     eterea                  2022-03-29'T'10:01:11-0300
5642-e79d-40e8   5     AP_CWB_ENTRADA    0/4      2.4G  11n   96/96      -43   400   172.16.250.101   41_Roost_Omnidata       2022-03-29'T'10:01:11-0300
5ae8-8799-9052   4     AP_CWB_REUNIAO    0/4      2.4G  11n   72/52      -52   400   172.16.250.103   41_Roost_Omnidata       2022-03-29'T'10:01:11-0300
5ccd-5bf3-c091   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/173    -35   13    172.16.13.72     eterea                  2022-03-29'T'10:01:11-0300
5ccd-5bf3-c0b9   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/173    -43   13    172.16.13.76     eterea                  2022-03-29'T'10:01:11-0300
5ccd-5bf3-c1bd   7     AP_CWB_ESTOQUE_2  1/1      5G    11ac  173/173    -44   13    172.19.13.54     eterea                  2022-03-29'T'10:01:11-0300
5ccd-5bf3-c5a0   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/173    -40   13    172.16.13.59     eterea                  2022-03-29'T'10:01:11-0300
5e79-0a7e-90b8   7     AP_CWB_ESTOQUE_2  1/1      5G    11ac  173/192    -55   13    172.19.13.53     eterea                  2022-03-29'T'10:01:11-0300
60ab-67c4-61d0   3     AP_CWB_MEIO       1/1      5G    11ac  78/96      -58   13    172.16.13.50     eterea                  2022-03-29'T'10:01:11-0300
60d8-19d4-e8ea   6     AP_CWB_ESTOQUE_1  0/1      2.4G  11n   65/72      -36   13    172.19.13.56     eterea                  2022-03-29'T'10:01:11-0300
6256-e3ca-e308   5     AP_CWB_ENTRADA    1/4      5G    11ac  192/130    -44   400   172.16.250.102   41_Roost_Omnidata       2022-03-29'T'10:01:11-0300
6616-2ec5-1f96   3     AP_CWB_MEIO       1/1      5G    11ac  173/156    -65   13    172.16.13.56     eterea                  2022-03-29'T'10:01:11-0300
7c8b-b531-3c4f   4     AP_CWB_REUNIAO    0/1      2.4G  11n   65/72      -49   13    172.16.13.53     eterea                  2022-03-29'T'10:01:11-0300
7ce9-d3d6-5b31   3     AP_CWB_MEIO       0/1      2.4G  11n   65/65      -51   13    172.16.13.63     eterea                  2022-03-29'T'10:01:11-0300
7e09-131c-a6c6   3     AP_CWB_MEIO       1/1      5G    11ac  173/192    -56   13    172.16.13.55     eterea                  2022-03-29'T'10:01:11-0300
8056-f2f2-1897   6     AP_CWB_ESTOQUE_1  0/1      2.4G  11n   72/65      -52   13    172.19.13.57     eterea                  2022-03-29'T'10:01:11-0300
9cb7-0d9f-7570   2     AP_BSB_COMERCIAL  0/4      2.4G  11n   64/57      -51   400   10.10.17.102     61_Roost_Omnidata       2022-03-29'T'10:01:11-0300
a816-d031-88c1   1     AP_BSB_ENGENHARIA 0/1      2.4G  11n   64/50      -51   13    172.17.13.21     eterea                  2022-03-29'T'10:01:11-0300
aadd-27d7-b79c   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -48   13    172.16.13.66     eterea                  2022-03-29'T'10:01:11-0300
bab2-c64f-295d   3     AP_CWB_MEIO       1/1      5G    11ac  86/96      -47   13    172.16.13.52     eterea                  2022-03-29'T'10:01:11-0300
dc53-600d-abfb   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -51   13    172.16.13.58     eterea                  2022-03-29'T'10:01:11-0300
