UserID,Username,IPADDRESS_x,MAC,Status,AP_ID,AP_NAME,RF/WLAN,BAND,Type,RX/TX,RSSI,VLAN,IPADDRESS_y,SSID,DATA_y,HORA_y
4665,michelle.mileki,172.16.13.59,7c8b-b531-3c4f,Success,3,AP_CWB_MEIO,0/1,2.4G,11n,52/72,-51,13,172.16.13.59,eterea,18/03/2022,16:24
4771,2A-C6-E8-B9-36-72,172.16.250.145,2ac6-e8b9-3672,Success,3,AP_CWB_MEIO,1/4,5G,11ac,96/65,-57,400,172.16.250.145,41_Roost_Omnidata,18/03/2022,16:24
5084,9cb70d9f7570,10.10.17.102,9cb7-0d9f-7570,Pre-authen,2,AP_BSB_COMERCIAL,0/4,2.4G,11n,65/64,-46,400,10.10.17.102,61_Roost_Omnidata,18/03/2022,16:24
5095,stephany.rios,172.16.13.79,60ab-67c4-61d0,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,78/96,-61,13,172.16.13.79,eterea,18/03/2022,16:24
5245,andre,172.19.13.53,0e46-2139-e445,Success,7,AP_CWB_ESTOQUE_2,1/1,5G,11ac,52/21,-74,13,172.19.13.53,eterea,18/03/2022,16:24
5346,enio.danzmann,172.16.13.71,dc53-600d-abfb,Success,3,AP_CWB_MEIO,1/1,5G,11ac,173/173,-51,13,172.16.13.71,eterea,18/03/2022,16:24
5350,joao.feitosa,172.16.13.58,103f-4474-deac,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,96/96,-51,13,172.16.13.58,eterea,18/03/2022,16:24
5410,branco,172.19.13.55,4a02-8e45-86d3,Success,6,AP_CWB_ESTOQUE_1,1/1,5G,11n,65/14,-62,13,172.19.13.55,eterea,18/03/2022,16:24
5478,REDISUL\branco,172.19.13.56,60d8-19d4-e8ea,Success,6,AP_CWB_ESTOQUE_1,0/1,2.4G,11n,72/72,-36,13,172.19.13.56,eterea,18/03/2022,16:24
5479,REDISUL\rogerio.gom...,172.19.13.64,8056-f2f2-1ae3,Success,6,AP_CWB_ESTOQUE_1,0/1,2.4G,11n,72/72,-42,13,172.19.13.64,eterea,18/03/2022,16:24
5510,luiz.rocha,172.17.13.27,bc6a-d1fb-b822,Success,1,AP_BSB_ENGENHARIA,1/1,5G,11ac,173/173,-48,13,172.17.13.27,eterea,18/03/2022,16:24
5541,16-C4-B9-90-4D-62,172.16.250.118,16c4-b990-4d62,Success,3,AP_CWB_MEIO,1/4,5G,11ac,173/192,-44,400,172.16.250.118,41_Roost_Omnidata,18/03/2022,16:24
