index;UserID;Username;IPADDRESS;MAC;Status;AP_ID;AP_NAME;RF/WLAN;BAND;Type;RX/TX;RSSI;VLAN;SSID;@timestamp-py;PCKT_SENT;PCKT_RECEIVED;BYTES_SENT;BYTES_RECEIVED;WID_RATE_SENT;WID_RATE_RECEIVED;TRIGGER_R_TOTAL;TRIGGER_R_FAILED;STA_POWER_SAVE;BYTES_SENT_CALC
0;10;netmiko;10.81.234.3;-;Success;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4662;gabriel.rocha;172.16.13.67;5ccd-5bf3-c5a0;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;173/173;-64;13;eterea;2022-06-10T14:42:39-0300;135237;148233;109295567;79994503;81;295;0;0;0;8301975
2;4806;fabricio.santana;172.16.13.66;b83b-cc03-7e9b;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;96/96;-52;13;eterea;2022-06-10T14:42:39-0300;16634;19930;13822782;10886260;0;0;0;0;96;670
3;5234;marcos.lustosa;172.16.13.76;8af2-8400-f361;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;96/96;-48;13;eterea;2022-06-10T14:42:39-0300;3468;3489;1773686;1694275;0;0;0;0;89;1214873
4;5264;ariane.cruz;172.16.13.53;441c-a8bf-d83f;Success;3;AP_CWB_MEIO;1/1;5G;11ac;192/115;-52;13;eterea;2022-06-10T14:42:39-0300;221258;173629;210812159;73550345;20;17;0;0;0;1643603
5;5313;REDISUL\maycon.bras...;172.16.13.54;5ccd-5bf3-c091;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;173/173;-44;13;eterea;2022-06-10T14:42:39-0300;61504;43801;44776056;11099120;13;7;0;0;0;4181078
6;5328;C2-FA-68-BF-21-51;172.16.250.107;c2fa-68bf-2151;Success;3;AP_CWB_MEIO;1/4;5G;11ac;86/96;-47;400;41_Roost_Omnidata;2022-06-10T14:42:39-0300;952290;311958;1363139513;64013167;7;3;0;0;44;155052158
7;5336;stephany.rios;172.16.13.51;60ab-67c4-61d0;Success;3;AP_CWB_MEIO;1/1;5G;11ac;78/96;-44;13;eterea;2022-06-10T14:42:39-0300;1240320;227686;1531888211;35944854;0;0;0;0;91;390116
8;5344;REDISUL\hamilton;172.19.13.54;8056-f2f2-1897;Success;6;AP_CWB_ESTOQUE_1;0/1;2.4G;11n;72/65;-55;13;eterea;2022-06-10T14:42:39-0300;103214;79408;87969655;16970302;40;8;0;0;0;8878222
9;5348;joao.feitosa;172.16.13.68;00d7-6d4d-8b5e;Success;5;AP_CWB_ENTRADA;1/1;5G;11ac;86/86;-59;13;eterea;2022-06-10T14:42:39-0300;141754;86369;95648084;49971659;472;484;0;0;0;94871169
10;5402;DC-BF-E9-8F-A0-18;172.16.250.104;dcbf-e98f-a018;Success;3;AP_CWB_MEIO;1/4;5G;11n;6/72;-60;400;41_Roost_Omnidata;2022-06-10T14:42:39-0300;1103;833;638626;217040;0;0;0;0;98;218
11;5429;REDISUL\luiz.rocha;172.17.13.38;5ccd-5bf3-c483;Success;1;AP_BSB_ENGENHARIA;1/1;5G;11ac;52/173;-43;13;eterea;2022-06-10T14:42:39-0300;798301;1352398;583554751;1096910561;0;0;0;0;95;0
12;5433;michelle.mileki;172.16.13.62;7c8b-b531-3c4f;Success;5;AP_CWB_ENTRADA;0/1;2.4G;11n;9/26;-71;13;eterea;2022-06-10T14:42:39-0300;708;603;560081;77023;0;0;0;0;95;504339
