 from   9cb7-0d9f-7570     0006-f4af-2c50     0           AP_BSB_REUNIAO     0         11       -62/16:47:54                -                           
 from   9cb7-0d9f-7570     d494-e80f-b260     2           AP_BSB_COMERCIAL   0         6        -38/16:47:38                -                           
 from   9cb7-0d9f-7570     0006-f4af-28f0     1           AP_BSB_ENGENHARIA  0         11       -43/16:47:44                -                           
 from   0e46-2139-e445     7cc3-85e0-2900     6           AP_CWB_ESTOQUE_1   1         36       -56/16:47:34                -                           
 from   0e46-2139-e445     7cc3-85e0-2660     7           AP_CWB_ESTOQUE_2   0         11       -52/16:44:16                -                           
 from   0e46-2139-e445     7cc3-85e0-2900     6           AP_CWB_ESTOQUE_1   0         1        -36/16:44:32                -                           
 from   60ab-67c4-61d0     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -45/16:47:12                -                           
 from   7c8b-b531-3c4f     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -54/16:47:10                -                           
 from   50eb-71c2-1a9b     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -43/16:47:12                -                           
 from   60d8-19d4-e8ea     7cc3-85e0-2900     6           AP_CWB_ESTOQUE_1   0         1        -37/16:47:34                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     0         1        -49/16:48:00                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -46/16:48:02                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -51/16:47:10                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -46/16:47:10                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -53/16:47:10                -                           
 from   00d7-6d3b-e1bf     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -39/16:47:12                -                           
 from   4a02-8e45-86d3     7cc3-85e0-2900     6           AP_CWB_ESTOQUE_1   1         36       -40/16:47:34                -                           
 from   5ccd-5bf3-c1bd     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -44/16:47:12                -                           
 from   5ccd-5bf3-c1bd     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     0         1        -63/16:46:00                -                           
 from   5ccd-5bf3-c1bd     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -53/16:46:02                -                           
 from   5ccd-5bf3-c1bd     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -51/16:46:10                -                           
 from   5ccd-5bf3-c1bd     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -43/16:46:10                -                           
 from   5ccd-5bf3-c1bd     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -42/16:46:10                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -47/16:48:10                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -49/16:46:10                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -46/16:46:10                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -44/16:46:12                -                           
 from   5ccd-5bf3-c091     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -58/16:46:02                -                           
 from   00d7-6d3b-dc6f     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -50/16:48:10                -                           
 from   00d7-6d3b-dc6f     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -62/16:45:10                -                           
 from   00d7-6d3b-dc6f     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -35/16:45:10                -                           
 from   00d7-6d3b-dc6f     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -51/16:45:10                -                           
 from   00d7-6d3b-dc6f     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     0         1        -49/16:46:00                -                           
 from   00d7-6d3b-dc6f     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -52/16:46:02                -                           
 from   7e09-131c-a6c6     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -57/16:48:10                 52/ 38/15:39:58            
 from   7e09-131c-a6c6     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -                            56/ 36/15:39:58            
 from   dc53-600d-abfb     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -48/16:48:12                -                           
 from   dc53-600d-abfb     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     0         1        -64/16:48:00                -                           
 from   dc53-600d-abfb     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -61/16:48:02                -                           
 from   dc53-600d-abfb     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -59/16:48:10                -                           
 from   dc53-600d-abfb     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -61/16:48:10                -                           
 from   0a37-d4a0-4c9a     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -49/16:48:10                -                           
 from   0a37-d4a0-4c9a     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -46/16:47:10                -                           
 from   0a37-d4a0-4c9a     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -58/16:47:10                -                           
 from   5e79-0a7e-90b8     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -58/16:48:10                -                           
 from   2ac6-e8b9-3672     7cc3-85e0-2820     3           AP_CWB_MEIO        1         116      -65/16:48:12                -                           
 from   5cea-1dd8-4227     7cc3-85e0-4140     5           AP_CWB_ENTRADA     1         60       -59/16:48:10                -                           
 from   5cea-1dd8-4227     7cc3-85e0-4140     5           AP_CWB_ENTRADA     0         11       -59/16:48:10                -                           
 from   5cea-1dd8-4227     7cc3-85e0-2820     3           AP_CWB_MEIO        0         6        -45/16:48:10                -                           
 from   5cea-1dd8-4227     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     0         1        -64/16:48:00                -                           
 from   5cea-1dd8-4227     7cc3-85e0-50a0     4           AP_CWB_REUNIAO     1         157      -57/16:48:02                -                           
