00d7-6d3b-dc6f   3     AP_CWB_MEIO       1/1      5G    11ac  86/86      -36   13    172.16.13.74     eterea                  2022-03-30'T'16:40:03-0300
00d7-6d3b-e1bf   4     AP_CWB_REUNIAO    1/1      5G    11ac  86/86      -51   13    172.16.13.70     eterea                  2022-03-30'T'16:40:03-0300
2079-188b-a556   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/173    -49   13    172.16.13.60     eterea                  2022-03-30'T'16:40:03-0300
2ac6-e8b9-3672   4     AP_CWB_REUNIAO    1/4      5G    11ac  6/96       -60   400   172.16.250.100   41_Roost_Omnidata       2022-03-30'T'16:40:03-0300
36c6-b432-42e2   5     AP_CWB_ENTRADA    0/1      2.4G  11n   1/2        -74   13    172.16.13.51     eterea                  2022-03-30'T'16:40:03-0300
389a-f679-e1bd   6     AP_CWB_ESTOQUE_1  0/1      2.4G  11n   26/39      -61   13    172.19.13.52     eterea                  2022-03-30'T'16:40:03-0300
4a02-8e45-86d3   6     AP_CWB_ESTOQUE_1  1/1      5G    11ac  78/86      -41   13    172.19.13.55     eterea                  2022-03-30'T'16:40:03-0300
5ccd-5bf3-c091   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -44   13    172.16.13.72     eterea                  2022-03-30'T'16:40:03-0300
5ccd-5bf3-c0b9   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/173    -38   13    172.16.13.76     eterea                  2022-03-30'T'16:40:03-0300
5ccd-5bf3-c5a0   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -64   13    172.16.13.59     eterea                  2022-03-30'T'16:40:03-0300
5e79-0a7e-90b8   5     AP_CWB_ENTRADA    1/1      5G    11ac  156/192    -56   13    172.16.13.57     eterea                  2022-03-30'T'16:40:03-0300
60ab-67c4-61d0   3     AP_CWB_MEIO       1/1      5G    11ac  78/96      -45   13    172.16.13.50     eterea                  2022-03-30'T'16:40:03-0300
60d8-19d4-e8ea   6     AP_CWB_ESTOQUE_1  0/1      2.4G  11n   72/72      -43   13    172.19.13.56     eterea                  2022-03-30'T'16:40:03-0300
6432-a843-f0da   5     AP_CWB_ENTRADA    1/1      5G    11ac  86/86      -56   13    172.16.13.78     eterea                  2022-03-30'T'16:40:03-0300
64a2-001e-7f99   3     AP_CWB_MEIO       0/4      2.4G  11n   78/86      -47   400   172.16.250.106   41_Roost_Omnidata       2022-03-30'T'16:40:03-0300
6616-2ec5-1f96   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -60   13    172.16.13.56     eterea                  2022-03-30'T'16:40:03-0300
687d-6bca-12ad   7     AP_CWB_ESTOQUE_2  1/1      5G    11ac  96/96      -56   13    172.19.13.59     eterea                  2022-03-30'T'16:40:03-0300
7c8b-b531-3c4f   3     AP_CWB_MEIO       0/1      2.4G  11n   72/72      -46   13    172.16.13.53     eterea                  2022-03-30'T'16:40:03-0300
7ce9-d3d6-5b31   5     AP_CWB_ENTRADA    0/1      2.4G  11n   65/65      -44   13    172.16.13.63     eterea                  2022-03-30'T'16:40:03-0300
7e09-131c-a6c6   5     AP_CWB_ENTRADA    1/1      5G    11ac  156/192    -48   13    172.16.13.55     eterea                  2022-03-30'T'16:40:03-0300
8056-f2f2-1ae3   7     AP_CWB_ESTOQUE_2  0/1      2.4G  11n   72/72      -47   13    172.19.13.64     eterea                  2022-03-30'T'16:40:03-0300
8a1e-d045-724c   3     AP_CWB_MEIO       1/1      5G    11ac  156/192    -59   13    172.16.13.54     eterea                  2022-03-30'T'16:40:03-0300
9614-8430-4069   5     AP_CWB_ENTRADA    1/1      5G    11ac  86/86      -43   13    172.16.13.62     eterea                  2022-03-30'T'16:40:03-0300
9cb7-0d9f-7570   1     AP_BSB_ENGENHARIA 0/4      2.4G  11n   64/64      -45   400   10.10.17.102     61_Roost_Omnidata       2022-03-30'T'16:40:03-0300
aadd-27d7-b79c   5     AP_CWB_ENTRADA    1/1      5G    11ac  156/192    -56   13    172.16.13.66     eterea                  2022-03-30'T'16:40:03-0300
bab2-c64f-295d   4     AP_CWB_REUNIAO    1/1      5G    11ac  173/86     -63   13    172.16.13.52     eterea                  2022-03-30'T'16:40:03-0300
bc6a-d1fb-b822   2     AP_BSB_COMERCIAL  0/1      2.4G  11n   128/139    -41   13    172.17.13.26     eterea                  2022-03-30'T'16:40:03-0300
dc53-600d-abfb   3     AP_CWB_MEIO       1/1      5G    11ac  173/144    -48   13    172.16.13.58     eterea                  2022-03-30'T'16:40:03-0300
